id,project_id,source_type,source_id,summary,key_points,created_at,updated_at
SUM-DOC-0015,PROJ-001,document,DOC-0015,문서ID: DOC-0015 작성일: 2025-07-03 문서유형: 팀 내부 진행 대화 작성자: 정하늘 관련팀: 영업관리팀 고객사: Daesung Automotive 구매처: JST Components 품목: AP-CB-510 케이블 어셈블리 관련이슈: 일반 운영 / 정기 운영 확인 Daesung Automotive 관련 ,관련 이슈: ; 관련팀: 영업관리팀,2026-06-01T09:00:00,2026-06-01T09:00:00
SUM-DOC-0016,PROJ-001,document,DOC-0016,문서ID: DOC-0016 작성일: 2025-07-03 문서유형: 고객 불만 메일 작성자: 정하늘 관련팀: 영업관리팀 고객사: Hyundai Mobis Tier2 구매처: Yazaki Parts Asia 품목: AP-WH-220 와이어하네스 관련이슈: 일반 운영 / 정기 운영 확인 Hyundai Mobis Tier2 관련,관련 이슈: ; 관련팀: 영업관리팀,2026-06-01T09:00:00,2026-06-01T09:00:00
SUM-DOC-0017,PROJ-001,document,DOC-0017,문서ID: DOC-0017 작성일: 2025-07-19 문서유형: 월간 리스크 회의록 작성자: 김도윤 관련팀: 운영총괄팀 고객사: Hanil Motors 구매처: TE Connectivity Korea 품목: AP-RL-450 릴레이 관련이슈: ISS-2025-007 / Hanil Motors 정기 발주 수량 변경 Han,관련 이슈: ISS-2025-007; 관련팀: 운영총괄팀,2026-06-01T09:00:00,2026-06-01T09:00:00
SUM-DOC-0018,PROJ-001,document,DOC-0018,문서ID: DOC-0018 작성일: 2025-07-07 문서유형: 불량 원인 분석 메모 작성자: 송태현 관련팀: 품질 클레임팀 고객사: Hyundai Mobis Tier2 구매처: TE Connectivity Korea 품목: AP-CN-204 커넥터 관련이슈: 일반 운영 / 정기 운영 확인 Hyundai Mobis Ti,관련 이슈: ; 관련팀: 품질 클레임팀,2026-06-01T09:00:00,2026-06-01T09:00:00
SUM-DOC-0019,PROJ-001,document,DOC-0019,문서ID: DOC-0019 작성일: 2025-07-30 문서유형: 품질 클레임 대응 회의록 작성자: 김도윤 관련팀: 운영총괄팀 고객사: Hyundai Mobis Tier2 구매처: KET Supplier 품목: AP-CB-510 케이블 어셈블리 관련이슈: 일반 운영 / 정기 운영 확인 Hyundai Mobis Tier2 ,관련 이슈: ; 관련팀: 운영총괄팀,2026-06-01T09:00:00,2026-06-01T09:00:00
SUM-DOC-0020,PROJ-001,document,DOC-0020,문서ID: DOC-0020 작성일: 2025-07-05 문서유형: 리드타임 변경 공지 작성자: 최유진 관련팀: 구매팀 고객사: Daesung Automotive 구매처: KET Supplier 품목: AP-SC-330 센서 케이블 관련이슈: 일반 운영 / 정기 운영 확인 Daesung Automotive 관련 AP-SC-,관련 이슈: ; 관련팀: 구매팀,2026-06-01T09:00:00,2026-06-01T09:00:00
SUM-DOC-0021,PROJ-001,document,DOC-0021,문서ID: DOC-0021 작성일: 2025-07-23 문서유형: 클레임 접수표 작성자: 배수민 관련팀: 품질 클레임팀 고객사: Hanil Motors 구매처: JST Components 품목: AP-RL-450 릴레이 관련이슈: ISS-2025-007 / Hanil Motors 정기 발주 수량 변경 Hanil Motor,관련 이슈: ISS-2025-007; 관련팀: 품질 클레임팀,2026-06-01T09:00:00,2026-06-01T09:00:00
SUM-DOC-0022,PROJ-001,document,DOC-0022,문서ID: DOC-0022 작성일: 2025-07-11 문서유형: 리드타임 변경 공지 작성자: 오세진 관련팀: 구매팀 고객사: Hanil Motors 구매처: KET Supplier 품목: AP-RL-450 릴레이 관련이슈: ISS-2025-007 / Hanil Motors 정기 발주 수량 변경 Hanil Motors 관,관련 이슈: ISS-2025-007; 관련팀: 구매팀,2026-06-01T09:00:00,2026-06-01T09:00:00
SUM-DOC-0023,PROJ-001,document,DOC-0023,문서ID: DOC-0023 작성일: 2025-07-05 문서유형: 대체품 가능 여부 회신 작성자: 오세진 관련팀: 구매팀 고객사: Hyundai Mobis Tier2 구매처: Yazaki Parts Asia 품목: AP-CB-510 케이블 어셈블리 관련이슈: 일반 운영 / 정기 운영 확인 Hyundai Mobis Tier,관련 이슈: ; 관련팀: 구매팀,2026-06-01T09:00:00,2026-06-01T09:00:00
SUM-DOC-0024,PROJ-001,document,DOC-0024,문서ID: DOC-0024 작성일: 2025-07-27 문서유형: 출고 로그 작성자: 문태준 관련팀: 물류팀 고객사: Mirae EV Systems 구매처: Local Cable Works 품목: AP-CN-204 커넥터 관련이슈: 일반 운영 / 정기 운영 확인 Mirae EV Systems 관련 AP-CN-204 커넥터,관련 이슈: ; 관련팀: 물류팀,2026-06-01T09:00:00,2026-06-01T09:00:00
SUM-DOC-0025,PROJ-001,document,DOC-0025,문서ID: DOC-0025 작성일: 2025-08-27 문서유형: 팀장 승인 요청 대화 작성자: 정하늘 관련팀: 영업관리팀 고객사: Hyundai Mobis Tier2 구매처: KET Supplier 품목: AP-WH-220 와이어하네스 관련이슈: ISS-2025-008 / KET Supplier 재고 부족으로 납기 지연,관련 이슈: ISS-2025-008; 관련팀: 영업관리팀,2026-06-01T09:00:00,2026-06-01T09:00:00
SUM-DOC-0026,PROJ-001,document,DOC-0026,문서ID: DOC-0026 작성일: 2025-08-20 문서유형: 단가 협상 메일 작성자: 박서연 관련팀: 영업관리팀 고객사: Hyundai Mobis Tier2 구매처: KET Supplier 품목: AP-WH-220 와이어하네스 관련이슈: ISS-2025-008 / KET Supplier 재고 부족으로 납기 지연 가능,관련 이슈: ISS-2025-008; 관련팀: 영업관리팀,2026-06-01T09:00:00,2026-06-01T09:00:00
SUM-DOC-0027,PROJ-001,document,DOC-0027,문서ID: DOC-0027 작성일: 2025-08-17 문서유형: 통관 지연 기록 작성자: 문태준 관련팀: 물류팀 고객사: Hyundai Mobis Tier2 구매처: KET Supplier 품목: AP-WH-220 와이어하네스 관련이슈: ISS-2025-008 / KET Supplier 재고 부족으로 납기 지연 가능 H,관련 이슈: ISS-2025-008; 관련팀: 물류팀,2026-06-01T09:00:00,2026-06-01T09:00:00
SUM-DOC-0028,PROJ-001,document,DOC-0028,문서ID: DOC-0028 작성일: 2025-08-17 문서유형: Todo 노출 대화 작성자: 이민재 관련팀: 영업관리팀 고객사: Hyundai Mobis Tier2 구매처: KET Supplier 품목: AP-WH-220 와이어하네스 관련이슈: ISS-2025-008 / KET Supplier 재고 부족으로 납기 지연 ,관련 이슈: ISS-2025-008; 관련팀: 영업관리팀,2026-06-01T09:00:00,2026-06-01T09:00:00
SUM-DOC-0029,PROJ-001,document,DOC-0029,문서ID: DOC-0029 작성일: 2025-08-20 문서유형: 개선대책 요청 작성자: 송태현 관련팀: 품질 클레임팀 고객사: Hyundai Mobis Tier2 구매처: KET Supplier 품목: AP-WH-220 와이어하네스 관련이슈: ISS-2025-008 / KET Supplier 재고 부족으로 납기 지연 가,관련 이슈: ISS-2025-008; 관련팀: 품질 클레임팀,2026-06-01T09:00:00,2026-06-01T09:00:00
SUM-DOC-0030,PROJ-001,document,DOC-0030,문서ID: DOC-0030 작성일: 2025-08-05 문서유형: 고객 불만 메일 작성자: 박서연 관련팀: 영업관리팀 고객사: Hyundai Mobis Tier2 구매처: KET Supplier 품목: AP-WH-220 와이어하네스 관련이슈: ISS-2025-008 / KET Supplier 재고 부족으로 납기 지연 가능,관련 이슈: ISS-2025-008; 관련팀: 영업관리팀,2026-06-01T09:00:00,2026-06-01T09:00:00
SUM-ISSUE-0001,PROJ-001,issue,AI-ISS-2025-006,"Daesung Automotive가 AP-CN-204 5,000개 긴급 납품을 요청하여 재고 확인, 구매처 협의, 출고 우선순위 조정이 발생함",severity=High; status=closed,2026-06-01T09:00:00,2026-06-01T09:00:00
SUM-ISSUE-0002,PROJ-001,issue,AI-ISS-2025-008,KET Supplier의 AP-WH-220 재고 부족으로 Hyundai Mobis Tier2 납기 지연 위험이 발생함,severity=High; status=closed,2026-06-01T09:00:00,2026-06-01T09:00:00
SUM-ISSUE-0003,PROJ-001,issue,AI-ISS-2025-009,Global Harness Vietnam 출하 건에서 원산지 증명 서류 누락으로 통관 지연이 발생함,severity=Medium; status=closed,2026-06-01T09:00:00,2026-06-01T09:00:00
SUM-ISSUE-0004,PROJ-001,issue,AI-ISS-2025-011,Mirae EV Systems에서 AP-SC-330 센서 케이블 접촉 불량 클레임이 반복 접수됨,severity=High; status=monitoring,2026-06-01T09:00:00,2026-06-01T09:00:00
SUM-ISSUE-0005,PROJ-001,issue,AI-ISS-2025-012,Yazaki Parts Asia가 AP-RL-450 리드타임을 8주에서 12주로 변경 공지함,severity=Medium; status=closed,2026-06-01T09:00:00,2026-06-01T09:00:00
SUM-ISSUE-0006,PROJ-001,issue,AI-ISS-2026-002,Hyundai Mobis Tier2 납기 대응을 위해 AP-TM-118 일부 수량을 항공 긴급 이송함,severity=High; status=closed,2026-06-01T09:00:00,2026-06-01T09:00:00
SUM-ISSUE-0007,PROJ-001,issue,AI-ISS-2026-004,TE Connectivity Korea가 주요 커넥터 단가 7% 인상을 통보하여 고객 단가 협상이 필요함,severity=Medium; status=open,2026-06-01T09:00:00,2026-06-01T09:00:00
SUM-ISSUE-0008,PROJ-001,issue,AI-ISS-2026-005,박서연 담당 Hyundai Mobis Tier2와 Daesung Automotive 업무 일부를 이민재에게 인수인계해야 함,severity=High; status=open,2026-06-01T09:00:00,2026-06-01T09:00:00
SUM-ISSUE-0009,PROJ-001,issue,AI-ISS-2025-007,Hanil Motors가 7월 정기 발주 수량을 일부 조정함,severity=Low; status=closed,2026-06-01T09:00:00,2026-06-01T09:00:00
SUM-ISSUE-0010,PROJ-001,issue,AI-ISS-2025-010,센서 케이블 대체 출하 가능성을 검토함,severity=Medium; status=closed,2026-06-01T09:00:00,2026-06-01T09:00:00
SUM-ISSUE-0011,PROJ-001,issue,AI-ISS-2026-001,월초 재고 실사에서 시스템 수량과 실물 수량 차이를 조정함,severity=Low; status=closed,2026-06-01T09:00:00,2026-06-01T09:00:00
SUM-ISSUE-0012,PROJ-001,issue,AI-ISS-2026-003,개선대책서 회신 일정이 지연되어 고객 후속 안내가 필요함,severity=Medium; status=closed,2026-06-01T09:00:00,2026-06-01T09:00:00
SUM-ISSUE-0013,PROJ-001,issue,AI-ISS-2026-006,Global Harness Vietnam향 박스 라벨에 PO 번호 표기 방식 변경 요청이 접수됨,severity=Low; status=open,2026-06-01T09:00:00,2026-06-01T09:00:00
SUM-ISSUE-0014,PROJ-001,issue,AI-ISS-2025-013,KET Supplier 월말 입고가 두 차례로 분할됨,severity=Medium; status=closed,2026-06-01T09:00:00,2026-06-01T09:00:00
SUM-ISSUE-0015,PROJ-001,issue,AI-ISS-2026-007,월간 보고서용 고객별 리스크 태그를 정리함,severity=Low; status=open,2026-06-01T09:00:00,2026-06-01T09:00:00
SUM-ISSUE-0016,PROJ-001,issue,AI-ISS-2025-014,검사 성적서 항목 누락에 대한 보완 요청이 진행됨,severity=Medium; status=closed,2026-06-01T09:00:00,2026-06-01T09:00:00
SUM-ISSUE-0017,PROJ-001,issue,AI-ISS-2026-008,긴급 발주 재발 방지를 위해 고객별 안전재고 기준을 협의함,severity=Medium; status=open,2026-06-01T09:00:00,2026-06-01T09:00:00
SUM-ISSUE-0018,PROJ-001,issue,AI-ISS-2026-009,"분기 공급사 납기, 품질, 단가 변동 데이터를 취합함",severity=Low; status=closed,2026-06-01T09:00:00,2026-06-01T09:00:00
SUM-ISSUE-0019,PROJ-001,issue,AI-ISSUE-2026-009,고객 입고 검사 수량과 내부 출고 처리 수량이 일치하지 않아 확인 및 재출고 또는 차액 조정 검토가 필요한 이슈,severity=Medium; status=in_progress,2026-06-01T09:00:00,2026-06-01T09:00:00
