id,business_entity_id,project_id,customer_id,product_id,quantity,order_date,requested_delivery_date,status,sales_owner_member_id,related_issue_id,created_at,updated_at
ORD-00032,BE-ORDER-0032,PROJ-001,CUS-004,AP-RL-450,3496,2026-02-15,2026-03-14,delayed,PM-002,ISS-2025-007,2026-02-15T09:00:00,2026-06-01T09:00:00
ORD-00033,BE-ORDER-0033,PROJ-001,CUS-002,AP-CN-204,2052,2025-08-10,2025-08-30,closed,PM-004,ISS-2025-006,2025-08-10T09:00:00,2026-06-01T09:00:00
ORD-00034,BE-ORDER-0034,PROJ-001,CUS-002,AP-SC-330,835,2025-08-31,2025-10-07,confirmed,PM-002,,2025-08-31T09:00:00,2026-06-01T09:00:00
ORD-00035,BE-ORDER-0035,PROJ-001,CUS-005,AP-TM-118,2853,2025-08-30,2025-09-21,confirmed,PM-004,ISS-2026-001,2025-08-30T09:00:00,2026-06-01T09:00:00
ORD-00036,BE-ORDER-0036,PROJ-001,CUS-001,AP-WH-220,2585,2025-07-16,2025-08-22,confirmed,PM-003,ISS-2025-008,2025-07-16T09:00:00,2026-06-01T09:00:00
ORD-00037,BE-ORDER-0037,PROJ-001,CUS-001,AP-TM-118,1276,2025-08-31,2025-10-13,delayed,PM-002,ISS-2026-002,2025-08-31T09:00:00,2026-06-01T09:00:00
ORD-00038,BE-ORDER-0038,PROJ-001,CUS-004,AP-RL-450,5770,2026-04-26,2026-06-01,closed,PM-004,ISS-2025-007,2026-04-26T09:00:00,2026-06-01T09:00:00
ORD-00039,BE-ORDER-0039,PROJ-001,CUS-004,AP-WH-220,2353,2025-12-12,2025-12-21,confirmed,PM-004,,2025-12-12T09:00:00,2026-06-01T09:00:00
ORD-00040,BE-ORDER-0040,PROJ-001,CUS-004,AP-CN-204,2477,2026-01-28,2026-02-06,confirmed,PM-004,ISS-2026-009,2026-01-28T09:00:00,2026-06-01T09:00:00
ORD-00041,BE-ORDER-0041,PROJ-001,CUS-005,AP-CB-510,5553,2026-03-26,2026-04-12,shipped,PM-004,ISS-2025-009,2026-03-26T09:00:00,2026-06-01T09:00:00
ORD-00042,BE-ORDER-0042,PROJ-001,CUS-002,AP-CN-204,2118,2026-01-31,2026-03-01,confirmed,PM-004,ISS-2026-004,2026-01-31T09:00:00,2026-06-01T09:00:00
ORD-00043,BE-ORDER-0043,PROJ-001,CUS-003,AP-SC-330,4115,2025-10-13,2025-11-05,confirmed,PM-003,ISS-2025-014,2025-10-13T09:00:00,2026-06-01T09:00:00
ORD-00044,BE-ORDER-0044,PROJ-001,CUS-003,AP-CB-510,5657,2025-07-11,2025-07-23,delayed,PM-003,ISS-2025-010,2025-07-11T09:00:00,2026-06-01T09:00:00
ORD-00045,BE-ORDER-0045,PROJ-001,CUS-004,AP-CB-510,3750,2026-01-19,2026-02-14,confirmed,PM-003,ISS-2026-009,2026-01-19T09:00:00,2026-06-01T09:00:00
ORD-00046,BE-ORDER-0046,PROJ-001,CUS-003,AP-SC-330,3268,2025-10-11,2025-11-23,closed,PM-002,ISS-2025-011,2025-10-11T09:00:00,2026-06-01T09:00:00
ORD-00047,BE-ORDER-0047,PROJ-001,CUS-004,AP-CB-510,1408,2025-06-09,2025-07-16,shipped,PM-003,ISS-2026-009,2025-06-09T09:00:00,2026-06-01T09:00:00
ORD-00048,BE-ORDER-0048,PROJ-001,CUS-001,AP-CN-204,2669,2025-08-03,2025-08-14,delayed,PM-004,ISS-2026-007,2025-08-03T09:00:00,2026-06-01T09:00:00
ORD-00049,BE-ORDER-0049,PROJ-001,CUS-002,AP-RL-450,3655,2025-08-10,2025-09-22,confirmed,PM-004,,2025-08-10T09:00:00,2026-06-01T09:00:00
ORD-00050,BE-ORDER-0050,PROJ-001,CUS-003,AP-SC-330,1719,2026-04-12,2026-05-15,confirmed,PM-003,ISS-2025-011,2026-04-12T09:00:00,2026-06-01T09:00:00
ORD-00051,BE-ORDER-0051,PROJ-001,CUS-005,AP-CB-510,2865,2026-04-12,2026-05-11,shipped,PM-004,ISS-2026-006,2026-04-12T09:00:00,2026-06-01T09:00:00
ORD-00052,BE-ORDER-0052,PROJ-001,CUS-004,AP-RL-450,232,2025-09-16,2025-10-23,confirmed,PM-002,ISS-2025-007,2025-09-16T09:00:00,2026-06-01T09:00:00
ORD-00053,BE-ORDER-0053,PROJ-001,CUS-003,AP-SC-330,2316,2026-02-10,2026-02-26,confirmed,PM-003,ISS-2025-014,2026-02-10T09:00:00,2026-06-01T09:00:00
ORD-00054,BE-ORDER-0054,PROJ-001,CUS-002,AP-CN-204,5416,2026-03-09,2026-03-26,closed,PM-002,ISS-2026-008,2026-03-09T09:00:00,2026-06-01T09:00:00
ORD-00055,BE-ORDER-0055,PROJ-001,CUS-003,AP-CB-510,2605,2025-09-01,2025-09-28,shipped,PM-002,ISS-2025-010,2025-09-01T09:00:00,2026-06-01T09:00:00
ORD-00056,BE-ORDER-0056,PROJ-001,CUS-003,AP-CB-510,5961,2025-11-12,2025-11-20,delayed,PM-004,ISS-2025-010,2025-11-12T09:00:00,2026-06-01T09:00:00
ORD-00057,BE-ORDER-0057,PROJ-001,CUS-001,AP-TM-118,607,2025-12-12,2026-01-25,confirmed,PM-002,ISS-2025-013,2025-12-12T09:00:00,2026-06-01T09:00:00
ORD-00058,BE-ORDER-0058,PROJ-001,CUS-001,AP-TM-118,4479,2025-08-18,2025-09-26,delayed,PM-003,ISS-2025-013,2025-08-18T09:00:00,2026-06-01T09:00:00
ORD-00059,BE-ORDER-0059,PROJ-001,CUS-003,AP-SC-330,5192,2025-12-26,2026-01-22,shipped,PM-003,ISS-2025-014,2025-12-26T09:00:00,2026-06-01T09:00:00
ORD-00060,BE-ORDER-0060,PROJ-001,CUS-005,AP-CB-510,2905,2025-11-01,2025-11-12,confirmed,PM-003,ISS-2026-006,2025-11-01T09:00:00,2026-06-01T09:00:00
ORD-00061,BE-ORDER-0061,PROJ-001,CUS-003,AP-SC-330,1659,2025-08-25,2025-09-10,confirmed,PM-003,ISS-2026-003,2025-08-25T09:00:00,2026-06-01T09:00:00
ORD-00062,BE-ORDER-0062,PROJ-001,CUS-001,AP-TM-118,4399,2026-02-04,2026-02-16,delayed,PM-004,ISS-2026-002,2026-02-04T09:00:00,2026-06-01T09:00:00
ORD-00063,BE-ORDER-0063,PROJ-001,CUS-004,AP-RL-450,207,2025-12-08,2025-12-21,confirmed,PM-002,ISS-2025-012,2025-12-08T09:00:00,2026-06-01T09:00:00
ORD-00064,BE-ORDER-0064,PROJ-001,CUS-003,AP-SC-330,2744,2025-11-08,2025-12-02,confirmed,PM-002,ISS-2025-014,2025-11-08T09:00:00,2026-06-01T09:00:00
ORD-00065,BE-ORDER-0065,PROJ-001,CUS-002,AP-CN-204,4635,2025-07-06,2025-07-13,closed,PM-003,ISS-2025-006,2025-07-06T09:00:00,2026-06-01T09:00:00
ORD-00066,BE-ORDER-0066,PROJ-001,CUS-003,AP-SC-330,5521,2025-09-08,2025-10-01,delayed,PM-004,ISS-2026-003,2025-09-08T09:00:00,2026-06-01T09:00:00
ORD-00067,BE-ORDER-0067,PROJ-001,CUS-001,AP-TM-118,2519,2025-10-16,2025-11-04,confirmed,PM-004,ISS-2026-002,2025-10-16T09:00:00,2026-06-01T09:00:00
ORD-00068,BE-ORDER-0068,PROJ-001,CUS-002,AP-RL-450,3733,2025-06-29,2025-07-14,confirmed,PM-002,,2025-06-29T09:00:00,2026-06-01T09:00:00
ORD-00069,BE-ORDER-0069,PROJ-001,CUS-001,AP-TM-118,4317,2025-09-01,2025-09-09,delayed,PM-003,ISS-2025-013,2025-09-01T09:00:00,2026-06-01T09:00:00
ORD-00070,BE-ORDER-0070,PROJ-001,CUS-002,AP-TM-118,5149,2025-10-03,2025-10-13,closed,PM-002,ISS-2026-001,2025-10-03T09:00:00,2026-06-01T09:00:00
ORD-00071,BE-ORDER-0071,PROJ-001,CUS-001,AP-CB-510,3348,2026-01-12,2026-01-27,confirmed,PM-003,ISS-2026-007,2026-01-12T09:00:00,2026-06-01T09:00:00
ORD-00072,BE-ORDER-0072,PROJ-001,CUS-004,AP-TM-118,5592,2025-11-13,2025-11-26,confirmed,PM-003,ISS-2026-001,2025-11-13T09:00:00,2026-06-01T09:00:00
ORD-00073,BE-ORDER-0073,PROJ-001,CUS-004,AP-RL-450,5694,2025-09-21,2025-10-01,confirmed,PM-004,ISS-2025-007,2025-09-21T09:00:00,2026-06-01T09:00:00
ORD-00074,BE-ORDER-0074,PROJ-001,CUS-003,AP-CB-510,5570,2026-02-18,2026-03-03,closed,PM-002,ISS-2025-010,2026-02-18T09:00:00,2026-06-01T09:00:00
ORD-00075,BE-ORDER-0075,PROJ-001,CUS-001,AP-WH-220,3368,2025-08-19,2025-09-09,closed,PM-004,ISS-2025-008,2025-08-19T09:00:00,2026-06-01T09:00:00
ORD-00076,BE-ORDER-0076,PROJ-001,CUS-005,AP-CB-510,3337,2025-10-27,2025-12-02,delayed,PM-004,ISS-2025-009,2025-10-27T09:00:00,2026-06-01T09:00:00
ORD-00077,BE-ORDER-0077,PROJ-001,CUS-001,AP-WH-220,3246,2025-11-22,2025-12-31,closed,PM-003,ISS-2026-007,2025-11-22T09:00:00,2026-06-01T09:00:00
ORD-00078,BE-ORDER-0078,PROJ-001,CUS-003,AP-SC-330,4568,2025-07-09,2025-07-26,closed,PM-004,ISS-2025-011,2025-07-09T09:00:00,2026-06-01T09:00:00
ORD-00079,BE-ORDER-0079,PROJ-001,CUS-004,AP-SC-330,304,2026-02-13,2026-03-30,closed,PM-003,,2026-02-13T09:00:00,2026-06-01T09:00:00
ORD-00080,BE-ORDER-0080,PROJ-001,CUS-001,AP-CN-204,2812,2026-04-24,2026-05-30,shipped,PM-003,ISS-2026-005,2026-04-24T09:00:00,2026-06-01T09:00:00
ORD-00081,BE-ORDER-0081,PROJ-001,CUS-002,AP-CN-204,503,2025-06-03,2025-07-16,delayed,PM-003,ISS-2025-006,2025-06-03T09:00:00,2026-06-01T09:00:00
ORD-00082,BE-ORDER-0082,PROJ-001,CUS-002,AP-CN-204,269,2025-11-09,2025-11-25,shipped,PM-003,ISS-2025-006,2025-11-09T09:00:00,2026-06-01T09:00:00
ORD-00083,BE-ORDER-0083,PROJ-001,CUS-003,AP-SC-330,4510,2026-01-29,2026-03-14,delayed,PM-003,ISS-2026-003,2026-01-29T09:00:00,2026-06-01T09:00:00
ORD-00084,BE-ORDER-0084,PROJ-001,CUS-001,AP-SC-330,5626,2025-11-10,2025-12-13,shipped,PM-003,ISS-2026-007,2025-11-10T09:00:00,2026-06-01T09:00:00
ORD-00085,BE-ORDER-0085,PROJ-001,CUS-003,AP-SC-330,4702,2026-03-31,2026-04-08,closed,PM-002,ISS-2026-003,2026-03-31T09:00:00,2026-06-01T09:00:00
ORD-00086,BE-ORDER-0086,PROJ-001,CUS-004,AP-RL-450,3531,2025-06-27,2025-07-13,closed,PM-004,ISS-2025-012,2025-06-27T09:00:00,2026-06-01T09:00:00
ORD-00087,BE-ORDER-0087,PROJ-001,CUS-001,AP-CN-204,1773,2026-01-17,2026-01-31,closed,PM-002,ISS-2026-005,2026-01-17T09:00:00,2026-06-01T09:00:00
ORD-00088,BE-ORDER-0088,PROJ-001,CUS-005,AP-CB-510,1282,2025-12-31,2026-01-08,shipped,PM-002,ISS-2026-006,2025-12-31T09:00:00,2026-06-01T09:00:00
ORD-00089,BE-ORDER-0089,PROJ-001,CUS-004,AP-RL-450,2458,2025-11-24,2025-12-13,confirmed,PM-002,ISS-2025-012,2025-11-24T09:00:00,2026-06-01T09:00:00
ORD-00090,BE-ORDER-0090,PROJ-001,CUS-001,AP-RL-450,3492,2025-06-01,2025-07-14,confirmed,PM-004,,2025-06-01T09:00:00,2026-06-01T09:00:00
ORD-00091,BE-ORDER-0091,PROJ-001,CUS-005,AP-CB-510,4194,2025-06-10,2025-06-22,closed,PM-003,ISS-2026-006,2025-06-10T09:00:00,2026-06-01T09:00:00
ORD-00092,BE-ORDER-0092,PROJ-001,CUS-001,AP-CN-204,3228,2025-10-31,2025-11-25,closed,PM-002,,2025-10-31T09:00:00,2026-06-01T09:00:00
ORD-00093,BE-ORDER-0093,PROJ-001,CUS-004,AP-RL-450,3456,2025-06-21,2025-07-16,confirmed,PM-003,ISS-2025-007,2025-06-21T09:00:00,2026-06-01T09:00:00
ORD-00094,BE-ORDER-0094,PROJ-001,CUS-005,AP-TM-118,976,2026-04-25,2026-06-01,delayed,PM-002,ISS-2026-001,2026-04-25T09:00:00,2026-06-01T09:00:00
ORD-00095,BE-ORDER-0095,PROJ-001,CUS-001,AP-TM-118,4132,2025-08-01,2025-09-02,confirmed,PM-002,,2025-08-01T09:00:00,2026-06-01T09:00:00
ORD-00096,BE-ORDER-0096,PROJ-001,CUS-003,AP-TM-118,3090,2025-11-22,2025-12-13,shipped,PM-002,ISS-2026-009,2025-11-22T09:00:00,2026-06-01T09:00:00
ORD-00097,BE-ORDER-0097,PROJ-001,CUS-005,AP-CB-510,5957,2025-07-24,2025-08-09,shipped,PM-002,ISS-2026-006,2025-07-24T09:00:00,2026-06-01T09:00:00
ORD-00098,BE-ORDER-0098,PROJ-001,CUS-002,AP-CN-204,2395,2026-03-13,2026-04-04,delayed,PM-002,ISS-2026-004,2026-03-13T09:00:00,2026-06-01T09:00:00
ORD-00099,BE-ORDER-0099,PROJ-001,CUS-003,AP-WH-220,1683,2025-07-13,2025-08-10,delayed,PM-002,,2025-07-13T09:00:00,2026-06-01T09:00:00
ORD-00100,BE-ORDER-0100,PROJ-001,CUS-003,AP-CB-510,5473,2025-09-20,2025-10-20,shipped,PM-002,ISS-2025-010,2025-09-20T09:00:00,2026-06-01T09:00:00
ORD-00101,BE-ORDER-0101,PROJ-001,CUS-001,AP-RL-450,4213,2026-05-21,2026-06-01,confirmed,PM-003,ISS-2026-007,2026-05-21T09:00:00,2026-06-01T09:00:00
ORD-00102,BE-ORDER-0102,PROJ-001,CUS-005,AP-CB-510,5601,2025-06-08,2025-07-22,shipped,PM-004,ISS-2025-009,2025-06-08T09:00:00,2026-06-01T09:00:00
ORD-00103,BE-ORDER-0103,PROJ-001,CUS-002,AP-CN-204,3083,2025-07-01,2025-08-03,shipped,PM-002,ISS-2026-004,2025-07-01T09:00:00,2026-06-01T09:00:00
ORD-00104,BE-ORDER-0104,PROJ-001,CUS-004,AP-RL-450,3669,2026-05-21,2026-06-01,delayed,PM-004,ISS-2025-012,2026-05-21T09:00:00,2026-06-01T09:00:00
ORD-00105,BE-ORDER-0105,PROJ-001,CUS-001,AP-CN-204,2265,2025-08-26,2025-09-30,delayed,PM-002,ISS-2026-005,2025-08-26T09:00:00,2026-06-01T09:00:00
ORD-00106,BE-ORDER-0106,PROJ-001,CUS-005,AP-CB-510,2981,2025-11-07,2025-11-21,closed,PM-004,ISS-2026-006,2025-11-07T09:00:00,2026-06-01T09:00:00
ORD-00107,BE-ORDER-0107,PROJ-001,CUS-005,AP-CB-510,1989,2026-01-07,2026-02-10,delayed,PM-004,ISS-2025-009,2026-01-07T09:00:00,2026-06-01T09:00:00
ORD-00108,BE-ORDER-0108,PROJ-001,CUS-003,AP-CB-510,3665,2026-04-06,2026-05-05,delayed,PM-003,ISS-2025-010,2026-04-06T09:00:00,2026-06-01T09:00:00
ORD-00109,BE-ORDER-0109,PROJ-001,CUS-002,AP-CN-204,2980,2026-03-04,2026-04-12,delayed,PM-003,,2026-03-04T09:00:00,2026-06-01T09:00:00
ORD-00110,BE-ORDER-0110,PROJ-001,CUS-001,AP-TM-118,4562,2026-05-24,2026-06-01,confirmed,PM-002,ISS-2025-013,2026-05-24T09:00:00,2026-06-01T09:00:00
ORD-00111,BE-ORDER-0111,PROJ-001,CUS-001,AP-WH-220,2463,2026-05-13,2026-05-29,confirmed,PM-002,ISS-2026-007,2026-05-13T09:00:00,2026-06-01T09:00:00
ORD-00112,BE-ORDER-0112,PROJ-001,CUS-005,AP-CB-510,3671,2026-05-06,2026-06-01,shipped,PM-002,ISS-2026-009,2026-05-06T09:00:00,2026-06-01T09:00:00
ORD-00113,BE-ORDER-0113,PROJ-001,CUS-002,AP-TM-118,2988,2026-04-11,2026-05-13,delayed,PM-004,,2026-04-11T09:00:00,2026-06-01T09:00:00
ORD-00114,BE-ORDER-0114,PROJ-001,CUS-001,AP-CB-510,5461,2025-09-28,2025-11-03,shipped,PM-002,ISS-2026-007,2025-09-28T09:00:00,2026-06-01T09:00:00
ORD-00115,BE-ORDER-0115,PROJ-001,CUS-002,AP-CN-204,4352,2025-10-22,2025-11-13,delayed,PM-004,ISS-2025-006,2025-10-22T09:00:00,2026-06-01T09:00:00
ORD-00116,BE-ORDER-0116,PROJ-001,CUS-001,AP-TM-118,2419,2025-09-17,2025-09-28,shipped,PM-003,ISS-2026-002,2025-09-17T09:00:00,2026-06-01T09:00:00
ORD-00117,BE-ORDER-0117,PROJ-001,CUS-003,AP-CN-204,2280,2026-04-07,2026-04-14,delayed,PM-004,,2026-04-07T09:00:00,2026-06-01T09:00:00
ORD-00118,BE-ORDER-0118,PROJ-001,CUS-004,AP-RL-450,3305,2025-09-14,2025-09-28,shipped,PM-002,ISS-2025-012,2025-09-14T09:00:00,2026-06-01T09:00:00
ORD-00119,BE-ORDER-0119,PROJ-001,CUS-003,AP-WH-220,1068,2025-11-09,2025-12-12,closed,PM-003,ISS-2026-009,2025-11-09T09:00:00,2026-06-01T09:00:00
ORD-00120,BE-ORDER-0120,PROJ-001,CUS-005,AP-CB-510,3801,2025-07-06,2025-08-16,shipped,PM-004,ISS-2025-009,2025-07-06T09:00:00,2026-06-01T09:00:00
ORD-00121,BE-ORDER-0121,PROJ-001,CUS-005,AP-CB-510,3794,2025-06-09,2025-07-23,closed,PM-004,ISS-2025-009,2025-06-09T09:00:00,2026-06-01T09:00:00
ORD-00122,BE-ORDER-0122,PROJ-001,CUS-003,AP-SC-330,329,2025-10-01,2025-10-10,closed,PM-002,ISS-2026-003,2025-10-01T09:00:00,2026-06-01T09:00:00
ORD-00123,BE-ORDER-0123,PROJ-001,CUS-005,AP-TM-118,4324,2025-09-13,2025-10-01,shipped,PM-003,ISS-2026-009,2025-09-13T09:00:00,2026-06-01T09:00:00
ORD-00124,BE-ORDER-0124,PROJ-001,CUS-002,AP-CN-204,3233,2026-05-18,2026-06-01,confirmed,PM-002,ISS-2025-006,2026-05-18T09:00:00,2026-06-01T09:00:00
ORD-00125,BE-ORDER-0125,PROJ-001,CUS-005,AP-CB-510,2615,2026-02-24,2026-03-08,shipped,PM-002,ISS-2025-009,2026-02-24T09:00:00,2026-06-01T09:00:00
ORD-00126,BE-ORDER-0126,PROJ-001,CUS-002,AP-CN-204,1986,2026-04-10,2026-04-30,confirmed,PM-004,ISS-2025-006,2026-04-10T09:00:00,2026-06-01T09:00:00
ORD-00127,BE-ORDER-0127,PROJ-001,CUS-001,AP-TM-118,3873,2026-03-05,2026-04-02,shipped,PM-002,ISS-2025-013,2026-03-05T09:00:00,2026-06-01T09:00:00
ORD-00128,BE-ORDER-0128,PROJ-001,CUS-003,AP-SC-330,3011,2026-01-29,2026-02-09,closed,PM-004,ISS-2026-003,2026-01-29T09:00:00,2026-06-01T09:00:00
ORD-00129,BE-ORDER-0129,PROJ-001,CUS-004,AP-RL-450,4535,2026-02-08,2026-03-01,delayed,PM-002,ISS-2025-012,2026-02-08T09:00:00,2026-06-01T09:00:00
ORD-00130,BE-ORDER-0130,PROJ-001,CUS-004,AP-RL-450,3068,2025-10-16,2025-11-14,confirmed,PM-004,,2025-10-16T09:00:00,2026-06-01T09:00:00
