id,project_id,entity_type,title,summary,status,priority,owner_member_id,department_id,occurred_at,due_at,created_at,updated_at,deleted_at
BE-ORDER-0023,PROJ-001,customer_order,고객 주문 ORD-00023,CUS-005 AP-CB-510 1673개 주문,closed,medium,PM-004,DEPT-002,2025-06-07,2025-07-15,2025-06-07T09:00:00,2026-06-01T09:00:00,
BE-ORDER-0024,PROJ-001,customer_order,고객 주문 ORD-00024,CUS-003 AP-CB-510 5139개 주문,shipped,medium,PM-003,DEPT-002,2025-06-11,2025-07-07,2025-06-11T09:00:00,2026-06-01T09:00:00,
BE-ORDER-0025,PROJ-001,customer_order,고객 주문 ORD-00025,CUS-003 AP-CB-510 1548개 주문,confirmed,medium,PM-002,DEPT-002,2026-02-05,2026-02-18,2026-02-05T09:00:00,2026-06-01T09:00:00,
BE-ORDER-0026,PROJ-001,customer_order,고객 주문 ORD-00026,CUS-004 AP-RL-450 2559개 주문,closed,medium,PM-003,DEPT-002,2025-09-19,2025-10-02,2025-09-19T09:00:00,2026-06-01T09:00:00,
BE-ORDER-0027,PROJ-001,customer_order,고객 주문 ORD-00027,CUS-004 AP-RL-450 2506개 주문,shipped,medium,PM-003,DEPT-002,2026-05-21,2026-06-01,2026-05-21T09:00:00,2026-06-01T09:00:00,
BE-ORDER-0028,PROJ-001,customer_order,고객 주문 ORD-00028,CUS-004 AP-RL-450 2170개 주문,shipped,medium,PM-002,DEPT-002,2026-04-07,2026-05-01,2026-04-07T09:00:00,2026-06-01T09:00:00,
BE-ORDER-0029,PROJ-001,customer_order,고객 주문 ORD-00029,CUS-003 AP-SC-330 5989개 주문,shipped,medium,PM-003,DEPT-002,2026-03-28,2026-05-02,2026-03-28T09:00:00,2026-06-01T09:00:00,
BE-ORDER-0030,PROJ-001,customer_order,고객 주문 ORD-00030,CUS-005 AP-CB-510 2190개 주문,confirmed,medium,PM-003,DEPT-002,2025-12-18,2026-01-23,2025-12-18T09:00:00,2026-06-01T09:00:00,
BE-ORDER-0031,PROJ-001,customer_order,고객 주문 ORD-00031,CUS-002 AP-CN-204 1339개 주문,closed,medium,PM-004,DEPT-002,2025-09-06,2025-10-21,2025-09-06T09:00:00,2026-06-01T09:00:00,
BE-ORDER-0032,PROJ-001,customer_order,고객 주문 ORD-00032,CUS-002 AP-CN-204 3663개 주문,closed,medium,PM-004,DEPT-002,2025-06-08,2025-06-24,2025-06-08T09:00:00,2026-06-01T09:00:00,
BE-ORDER-0033,PROJ-001,customer_order,고객 주문 ORD-00033,CUS-004 AP-RL-450 2878개 주문,delayed,medium,PM-002,DEPT-002,2026-02-15,2026-03-19,2026-02-15T09:00:00,2026-06-01T09:00:00,
BE-ORDER-0034,PROJ-001,customer_order,고객 주문 ORD-00034,CUS-002 AP-CN-204 5723개 주문,shipped,medium,PM-003,DEPT-002,2025-08-10,2025-08-31,2025-08-10T09:00:00,2026-06-01T09:00:00,
BE-ORDER-0035,PROJ-001,customer_order,고객 주문 ORD-00035,CUS-001 AP-TM-118 2872개 주문,confirmed,medium,PM-004,DEPT-002,2026-05-13,2026-06-01,2026-05-13T09:00:00,2026-06-01T09:00:00,
BE-ORDER-0036,PROJ-001,customer_order,고객 주문 ORD-00036,CUS-005 AP-CB-510 2968개 주문,delayed,medium,PM-002,DEPT-002,2026-02-02,2026-02-20,2026-02-02T09:00:00,2026-06-01T09:00:00,
BE-ORDER-0037,PROJ-001,customer_order,고객 주문 ORD-00037,CUS-001 AP-CN-204 2585개 주문,closed,medium,PM-004,DEPT-002,2025-06-08,2025-06-15,2025-06-08T09:00:00,2026-06-01T09:00:00,
BE-ORDER-0038,PROJ-001,customer_order,고객 주문 ORD-00038,CUS-005 AP-CB-510 1696개 주문,shipped,medium,PM-004,DEPT-002,2026-05-24,2026-06-01,2026-05-24T09:00:00,2026-06-01T09:00:00,
BE-ORDER-0039,PROJ-001,customer_order,고객 주문 ORD-00039,CUS-002 AP-CN-204 5477개 주문,delayed,medium,PM-004,DEPT-002,2026-04-01,2026-04-20,2026-04-01T09:00:00,2026-06-01T09:00:00,
BE-ORDER-0040,PROJ-001,customer_order,고객 주문 ORD-00040,CUS-003 AP-SC-330 4415개 주문,closed,medium,PM-004,DEPT-002,2025-08-06,2025-09-13,2025-08-06T09:00:00,2026-06-01T09:00:00,
BE-ORDER-0041,PROJ-001,customer_order,고객 주문 ORD-00041,CUS-002 AP-CN-204 5795개 주문,confirmed,medium,PM-004,DEPT-002,2026-01-15,2026-01-24,2026-01-15T09:00:00,2026-06-01T09:00:00,
BE-ORDER-0042,PROJ-001,customer_order,고객 주문 ORD-00042,CUS-004 AP-CN-204 5579개 주문,confirmed,medium,PM-002,DEPT-002,2026-01-28,2026-02-21,2026-01-28T09:00:00,2026-06-01T09:00:00,
BE-ORDER-0043,PROJ-001,customer_order,고객 주문 ORD-00043,CUS-001 AP-WH-220 4665개 주문,shipped,medium,PM-004,DEPT-002,2026-03-03,2026-03-20,2026-03-03T09:00:00,2026-06-01T09:00:00,
BE-ORDER-0044,PROJ-001,customer_order,고객 주문 ORD-00044,CUS-002 AP-CN-204 3021개 주문,confirmed,medium,PM-004,DEPT-002,2026-01-31,2026-02-21,2026-01-31T09:00:00,2026-06-01T09:00:00,
BE-ORDER-0045,PROJ-001,customer_order,고객 주문 ORD-00045,CUS-003 AP-SC-330 5236개 주문,delayed,medium,PM-002,DEPT-002,2025-10-13,2025-11-19,2025-10-13T09:00:00,2026-06-01T09:00:00,
BE-ORDER-0046,PROJ-001,customer_order,고객 주문 ORD-00046,CUS-005 AP-CB-510 5657개 주문,confirmed,medium,PM-004,DEPT-002,2026-01-23,2026-02-21,2026-01-23T09:00:00,2026-06-01T09:00:00,
BE-ORDER-0047,PROJ-001,customer_order,고객 주문 ORD-00047,CUS-003 AP-SC-330 4702개 주문,closed,medium,PM-004,DEPT-002,2026-02-26,2026-04-03,2026-02-26T09:00:00,2026-06-01T09:00:00,
BE-ORDER-0048,PROJ-001,customer_order,고객 주문 ORD-00048,CUS-003 AP-CB-510 2326개 주문,confirmed,medium,PM-003,DEPT-002,2026-01-08,2026-01-31,2026-01-08T09:00:00,2026-06-01T09:00:00,
BE-ORDER-0049,PROJ-001,customer_order,고객 주문 ORD-00049,CUS-005 AP-CB-510 1111개 주문,confirmed,medium,PM-004,DEPT-002,2025-12-09,2026-01-09,2025-12-09T09:00:00,2026-06-01T09:00:00,
BE-ORDER-0050,PROJ-001,customer_order,고객 주문 ORD-00050,CUS-004 AP-RL-450 4263개 주문,confirmed,medium,PM-003,DEPT-002,2025-12-14,2025-12-30,2025-12-14T09:00:00,2026-06-01T09:00:00,
BE-ORDER-0051,PROJ-001,customer_order,고객 주문 ORD-00051,CUS-005 AP-CB-510 4360개 주문,delayed,medium,PM-004,DEPT-002,2025-10-23,2025-11-03,2025-10-23T09:00:00,2026-06-01T09:00:00,
BE-ORDER-0052,PROJ-001,customer_order,고객 주문 ORD-00052,CUS-002 AP-RL-450 4931개 주문,confirmed,medium,PM-004,DEPT-002,2025-08-10,2025-09-12,2025-08-10T09:00:00,2026-06-01T09:00:00,
BE-ORDER-0053,PROJ-001,customer_order,고객 주문 ORD-00053,CUS-003 AP-SC-330 3625개 주문,confirmed,medium,PM-003,DEPT-002,2026-04-12,2026-04-30,2026-04-12T09:00:00,2026-06-01T09:00:00,
BE-ORDER-0054,PROJ-001,customer_order,고객 주문 ORD-00054,CUS-005 AP-CB-510 3081개 주문,shipped,medium,PM-004,DEPT-002,2026-04-12,2026-05-09,2026-04-12T09:00:00,2026-06-01T09:00:00,
BE-ORDER-0055,PROJ-001,customer_order,고객 주문 ORD-00055,CUS-004 AP-RL-450 4106개 주문,confirmed,medium,PM-002,DEPT-002,2025-09-16,2025-09-23,2025-09-16T09:00:00,2026-06-01T09:00:00,
BE-ORDER-0056,PROJ-001,customer_order,고객 주문 ORD-00056,CUS-003 AP-SC-330 1472개 주문,confirmed,medium,PM-003,DEPT-002,2026-02-10,2026-03-05,2026-02-10T09:00:00,2026-06-01T09:00:00,
BE-ORDER-0057,PROJ-001,customer_order,고객 주문 ORD-00057,CUS-002 AP-CN-204 4995개 주문,closed,medium,PM-002,DEPT-002,2026-03-09,2026-03-26,2026-03-09T09:00:00,2026-06-01T09:00:00,
BE-ORDER-0058,PROJ-001,customer_order,고객 주문 ORD-00058,CUS-003 AP-CB-510 2861개 주문,shipped,medium,PM-002,DEPT-002,2025-09-01,2025-09-26,2025-09-01T09:00:00,2026-06-01T09:00:00,
BE-ORDER-0059,PROJ-001,customer_order,고객 주문 ORD-00059,CUS-003 AP-CB-510 2270개 주문,closed,medium,PM-003,DEPT-002,2025-11-12,2025-11-20,2025-11-12T09:00:00,2026-06-01T09:00:00,
BE-ORDER-0060,PROJ-001,customer_order,고객 주문 ORD-00060,CUS-001 AP-WH-220 1893개 주문,shipped,medium,PM-003,DEPT-002,2026-03-06,2026-03-13,2026-03-06T09:00:00,2026-06-01T09:00:00,
BE-ORDER-0061,PROJ-001,customer_order,고객 주문 ORD-00061,CUS-002 AP-CN-204 3513개 주문,closed,medium,PM-003,DEPT-002,2026-03-19,2026-04-15,2026-03-19T09:00:00,2026-06-01T09:00:00,
BE-ORDER-0062,PROJ-001,customer_order,고객 주문 ORD-00062,CUS-003 AP-WH-220 5765개 주문,shipped,medium,PM-003,DEPT-002,2025-06-05,2025-07-20,2025-06-05T09:00:00,2026-06-01T09:00:00,
BE-ORDER-0063,PROJ-001,customer_order,고객 주문 ORD-00063,CUS-005 AP-CB-510 774개 주문,confirmed,medium,PM-003,DEPT-002,2025-11-01,2025-11-29,2025-11-01T09:00:00,2026-06-01T09:00:00,
BE-ORDER-0064,PROJ-001,customer_order,고객 주문 ORD-00064,CUS-003 AP-SC-330 1437개 주문,confirmed,medium,PM-003,DEPT-002,2025-08-25,2025-09-12,2025-08-25T09:00:00,2026-06-01T09:00:00,
BE-ORDER-0065,PROJ-001,customer_order,고객 주문 ORD-00065,CUS-001 AP-TM-118 906개 주문,delayed,medium,PM-004,DEPT-002,2026-02-04,2026-03-15,2026-02-04T09:00:00,2026-06-01T09:00:00,
BE-ORDER-0066,PROJ-001,customer_order,고객 주문 ORD-00066,CUS-004 AP-RL-450 972개 주문,confirmed,medium,PM-002,DEPT-002,2025-12-08,2025-12-15,2025-12-08T09:00:00,2026-06-01T09:00:00,
BE-ORDER-0067,PROJ-001,customer_order,고객 주문 ORD-00067,CUS-003 AP-SC-330 2465개 주문,confirmed,medium,PM-002,DEPT-002,2025-11-08,2025-12-04,2025-11-08T09:00:00,2026-06-01T09:00:00,
BE-ORDER-0068,PROJ-001,customer_order,고객 주문 ORD-00068,CUS-002 AP-CN-204 245개 주문,closed,medium,PM-003,DEPT-002,2025-07-06,2025-08-16,2025-07-06T09:00:00,2026-06-01T09:00:00,
BE-ORDER-0069,PROJ-001,customer_order,고객 주문 ORD-00069,CUS-003 AP-SC-330 2372개 주문,delayed,medium,PM-002,DEPT-002,2025-09-08,2025-10-01,2025-09-08T09:00:00,2026-06-01T09:00:00,
BE-ORDER-0070,PROJ-001,customer_order,고객 주문 ORD-00070,CUS-003 AP-CB-510 648개 주문,shipped,medium,PM-003,DEPT-002,2025-06-29,2025-07-10,2025-06-29T09:00:00,2026-06-01T09:00:00,
BE-ORDER-0071,PROJ-001,customer_order,고객 주문 ORD-00071,CUS-004 AP-RL-450 1679개 주문,closed,medium,PM-004,DEPT-002,2026-01-07,2026-01-19,2026-01-07T09:00:00,2026-06-01T09:00:00,
BE-ORDER-0072,PROJ-001,customer_order,고객 주문 ORD-00072,CUS-002 AP-CN-204 3737개 주문,shipped,medium,PM-003,DEPT-002,2025-07-28,2025-08-24,2025-07-28T09:00:00,2026-06-01T09:00:00,
BE-ORDER-0073,PROJ-001,customer_order,고객 주문 ORD-00073,CUS-001 AP-WH-220 1202개 주문,closed,medium,PM-003,DEPT-002,2025-09-06,2025-10-07,2025-09-06T09:00:00,2026-06-01T09:00:00,
BE-ORDER-0074,PROJ-001,customer_order,고객 주문 ORD-00074,CUS-005 AP-CB-510 3825개 주문,delayed,medium,PM-003,DEPT-002,2025-08-14,2025-08-28,2025-08-14T09:00:00,2026-06-01T09:00:00,
BE-ORDER-0075,PROJ-001,customer_order,고객 주문 ORD-00075,CUS-003 AP-SC-330 1998개 주문,delayed,medium,PM-004,DEPT-002,2025-12-27,2026-01-25,2025-12-27T09:00:00,2026-06-01T09:00:00,
BE-ORDER-0076,PROJ-001,customer_order,고객 주문 ORD-00076,CUS-001 AP-WH-220 4396개 주문,delayed,medium,PM-002,DEPT-002,2026-05-10,2026-06-01,2026-05-10T09:00:00,2026-06-01T09:00:00,
BE-ORDER-0077,PROJ-001,customer_order,고객 주문 ORD-00077,CUS-003 AP-SC-330 1479개 주문,confirmed,medium,PM-004,DEPT-002,2026-05-02,2026-05-14,2026-05-02T09:00:00,2026-06-01T09:00:00,
BE-ORDER-0078,PROJ-001,customer_order,고객 주문 ORD-00078,CUS-005 AP-CB-510 4724개 주문,closed,medium,PM-004,DEPT-002,2025-10-13,2025-11-22,2025-10-13T09:00:00,2026-06-01T09:00:00,
BE-ORDER-0079,PROJ-001,customer_order,고객 주문 ORD-00079,CUS-005 AP-CB-510 3945개 주문,delayed,medium,PM-004,DEPT-002,2025-10-27,2025-11-27,2025-10-27T09:00:00,2026-06-01T09:00:00,
BE-ORDER-0080,PROJ-001,customer_order,고객 주문 ORD-00080,CUS-001 AP-WH-220 4381개 주문,closed,medium,PM-003,DEPT-002,2025-11-22,2025-12-22,2025-11-22T09:00:00,2026-06-01T09:00:00,
BE-ORDER-0081,PROJ-001,customer_order,고객 주문 ORD-00081,CUS-003 AP-SC-330 1516개 주문,closed,medium,PM-004,DEPT-002,2025-07-09,2025-08-19,2025-07-09T09:00:00,2026-06-01T09:00:00,
BE-ORDER-0082,PROJ-001,customer_order,고객 주문 ORD-00082,CUS-004 AP-SC-330 5087개 주문,closed,medium,PM-003,DEPT-002,2026-02-13,2026-02-20,2026-02-13T09:00:00,2026-06-01T09:00:00,
BE-ORDER-0083,PROJ-001,customer_order,고객 주문 ORD-00083,CUS-001 AP-CN-204 3922개 주문,shipped,medium,PM-003,DEPT-002,2026-04-24,2026-05-21,2026-04-24T09:00:00,2026-06-01T09:00:00,
BE-ORDER-0084,PROJ-001,customer_order,고객 주문 ORD-00084,CUS-002 AP-CN-204 4924개 주문,delayed,medium,PM-003,DEPT-002,2025-06-03,2025-06-12,2025-06-03T09:00:00,2026-06-01T09:00:00,
BE-ORDER-0085,PROJ-001,customer_order,고객 주문 ORD-00085,CUS-002 AP-CN-204 5763개 주문,shipped,medium,PM-002,DEPT-002,2025-11-09,2025-11-16,2025-11-09T09:00:00,2026-06-01T09:00:00,
BE-ORDER-0086,PROJ-001,customer_order,고객 주문 ORD-00086,CUS-003 AP-SC-330 4510개 주문,delayed,medium,PM-003,DEPT-002,2026-01-09,2026-02-06,2026-01-09T09:00:00,2026-06-01T09:00:00,
BE-ORDER-0087,PROJ-001,customer_order,고객 주문 ORD-00087,CUS-001 AP-SC-330 1938개 주문,closed,medium,PM-004,DEPT-002,2025-11-10,2025-12-13,2025-11-10T09:00:00,2026-06-01T09:00:00,
BE-ORDER-0088,PROJ-001,customer_order,고객 주문 ORD-00088,CUS-001 AP-TM-118 4059개 주문,shipped,medium,PM-002,DEPT-002,2025-11-24,2025-12-02,2025-11-24T09:00:00,2026-06-01T09:00:00,
BE-ORDER-0089,PROJ-001,customer_order,고객 주문 ORD-00089,CUS-003 AP-SC-330 3715개 주문,closed,medium,PM-002,DEPT-002,2025-08-13,2025-08-29,2025-08-13T09:00:00,2026-06-01T09:00:00,
BE-ORDER-0090,PROJ-001,customer_order,고객 주문 ORD-00090,CUS-003 AP-CB-510 3701개 주문,confirmed,medium,PM-003,DEPT-002,2026-04-17,2026-05-01,2026-04-17T09:00:00,2026-06-01T09:00:00,
BE-ORDER-0091,PROJ-001,customer_order,고객 주문 ORD-00091,CUS-001 AP-WH-220 1969개 주문,shipped,medium,PM-003,DEPT-002,2025-12-12,2025-12-20,2025-12-12T09:00:00,2026-06-01T09:00:00,
BE-ORDER-0092,PROJ-001,customer_order,고객 주문 ORD-00092,CUS-001 AP-TM-118 605개 주문,confirmed,medium,PM-002,DEPT-002,2025-08-18,2025-09-06,2025-08-18T09:00:00,2026-06-01T09:00:00,
BE-ORDER-0093,PROJ-001,customer_order,고객 주문 ORD-00093,CUS-003 AP-SC-330 4837개 주문,confirmed,medium,PM-004,DEPT-002,2026-03-16,2026-04-17,2026-03-16T09:00:00,2026-06-01T09:00:00,
BE-ORDER-0094,PROJ-001,customer_order,고객 주문 ORD-00094,CUS-005 AP-CB-510 923개 주문,closed,medium,PM-003,DEPT-002,2025-06-10,2025-07-18,2025-06-10T09:00:00,2026-06-01T09:00:00,
BE-ORDER-0095,PROJ-001,customer_order,고객 주문 ORD-00095,CUS-001 AP-CN-204 2514개 주문,closed,medium,PM-002,DEPT-002,2025-10-31,2025-11-30,2025-10-31T09:00:00,2026-06-01T09:00:00,
BE-ORDER-0096,PROJ-001,customer_order,고객 주문 ORD-00096,CUS-004 AP-RL-450 2578개 주문,confirmed,medium,PM-003,DEPT-002,2025-06-21,2025-07-23,2025-06-21T09:00:00,2026-06-01T09:00:00,
BE-ORDER-0097,PROJ-001,customer_order,고객 주문 ORD-00097,CUS-005 AP-TM-118 5919개 주문,delayed,medium,PM-002,DEPT-002,2026-04-25,2026-05-08,2026-04-25T09:00:00,2026-06-01T09:00:00,
BE-ORDER-0098,PROJ-001,customer_order,고객 주문 ORD-00098,CUS-001 AP-TM-118 3524개 주문,confirmed,medium,PM-002,DEPT-002,2025-08-01,2025-09-07,2025-08-01T09:00:00,2026-06-01T09:00:00,
BE-ORDER-0099,PROJ-001,customer_order,고객 주문 ORD-00099,CUS-003 AP-TM-118 2041개 주문,shipped,medium,PM-002,DEPT-002,2025-11-22,2025-12-21,2025-11-22T09:00:00,2026-06-01T09:00:00,
BE-ORDER-0100,PROJ-001,customer_order,고객 주문 ORD-00100,CUS-005 AP-CB-510 2190개 주문,confirmed,medium,PM-004,DEPT-002,2025-07-24,2025-08-09,2025-07-24T09:00:00,2026-06-01T09:00:00,
BE-ORDER-0101,PROJ-001,customer_order,고객 주문 ORD-00101,CUS-001 AP-CB-510 4531개 주문,delayed,medium,PM-002,DEPT-002,2025-09-10,2025-10-02,2025-09-10T09:00:00,2026-06-01T09:00:00,
BE-ORDER-0102,PROJ-001,customer_order,고객 주문 ORD-00102,CUS-003 AP-WH-220 5387개 주문,delayed,medium,PM-004,DEPT-002,2025-07-13,2025-07-31,2025-07-13T09:00:00,2026-06-01T09:00:00,
BE-ORDER-0103,PROJ-001,customer_order,고객 주문 ORD-00103,CUS-002 AP-CN-204 5986개 주문,closed,medium,PM-004,DEPT-002,2025-10-13,2025-11-08,2025-10-13T09:00:00,2026-06-01T09:00:00,
BE-ORDER-0104,PROJ-001,customer_order,고객 주문 ORD-00104,CUS-003 AP-SC-330 5871개 주문,closed,medium,PM-002,DEPT-002,2026-04-26,2026-05-16,2026-04-26T09:00:00,2026-06-01T09:00:00,
BE-ORDER-0105,PROJ-001,customer_order,고객 주문 ORD-00105,CUS-003 AP-SC-330 4272개 주문,confirmed,medium,PM-002,DEPT-002,2026-02-06,2026-02-18,2026-02-06T09:00:00,2026-06-01T09:00:00,
BE-ORDER-0106,PROJ-001,customer_order,고객 주문 ORD-00106,CUS-001 AP-WH-220 5245개 주문,confirmed,medium,PM-004,DEPT-002,2026-05-16,2026-06-01,2026-05-16T09:00:00,2026-06-01T09:00:00,
BE-ORDER-0107,PROJ-001,customer_order,고객 주문 ORD-00107,CUS-003 AP-SC-330 1589개 주문,confirmed,medium,PM-004,DEPT-002,2025-09-20,2025-10-23,2025-09-20T09:00:00,2026-06-01T09:00:00,
BE-ORDER-0108,PROJ-001,customer_order,고객 주문 ORD-00108,CUS-003 AP-CB-510 2718개 주문,shipped,medium,PM-002,DEPT-002,2025-08-18,2025-09-30,2025-08-18T09:00:00,2026-06-01T09:00:00,
BE-ORDER-0109,PROJ-001,customer_order,고객 주문 ORD-00109,CUS-004 AP-RL-450 1640개 주문,delayed,medium,PM-003,DEPT-002,2026-02-28,2026-03-24,2026-02-28T09:00:00,2026-06-01T09:00:00,
BE-ORDER-0110,PROJ-001,customer_order,고객 주문 ORD-00110,CUS-001 AP-TM-118 5749개 주문,closed,medium,PM-002,DEPT-002,2025-08-26,2025-09-26,2025-08-26T09:00:00,2026-06-01T09:00:00,
BE-ORDER-0111,PROJ-001,customer_order,고객 주문 ORD-00111,CUS-002 AP-CN-204 2916개 주문,delayed,medium,PM-002,DEPT-002,2025-11-28,2026-01-10,2025-11-28T09:00:00,2026-06-01T09:00:00,
BE-ORDER-0112,PROJ-001,customer_order,고객 주문 ORD-00112,CUS-003 AP-SC-330 4620개 주문,shipped,medium,PM-002,DEPT-002,2026-01-03,2026-02-05,2026-01-03T09:00:00,2026-06-01T09:00:00,
BE-ORDER-0113,PROJ-001,customer_order,고객 주문 ORD-00113,CUS-002 AP-CN-204 5912개 주문,closed,medium,PM-003,DEPT-002,2025-11-21,2025-12-26,2025-11-21T09:00:00,2026-06-01T09:00:00,
BE-ORDER-0114,PROJ-001,customer_order,고객 주문 ORD-00114,CUS-001 AP-TM-118 5744개 주문,closed,medium,PM-004,DEPT-002,2026-02-28,2026-03-14,2026-02-28T09:00:00,2026-06-01T09:00:00,
BE-ORDER-0115,PROJ-001,customer_order,고객 주문 ORD-00115,CUS-003 AP-TM-118 804개 주문,closed,medium,PM-004,DEPT-002,2026-02-12,2026-02-19,2026-02-12T09:00:00,2026-06-01T09:00:00,
BE-ORDER-0116,PROJ-001,customer_order,고객 주문 ORD-00116,CUS-002 AP-CN-204 2235개 주문,shipped,medium,PM-003,DEPT-002,2025-09-01,2025-10-16,2025-09-01T09:00:00,2026-06-01T09:00:00,
BE-ORDER-0117,PROJ-001,customer_order,고객 주문 ORD-00117,CUS-003 AP-CB-510 2943개 주문,closed,medium,PM-002,DEPT-002,2025-12-25,2026-01-29,2025-12-25T09:00:00,2026-06-01T09:00:00,
BE-ORDER-0118,PROJ-001,customer_order,고객 주문 ORD-00118,CUS-004 AP-RL-450 4352개 주문,shipped,medium,PM-004,DEPT-002,2025-09-11,2025-09-26,2025-09-11T09:00:00,2026-06-01T09:00:00,
