shipment_id,shipment_date,customer_id,product_id,quantity,carrier,shipping_method,expected_delivery_date,actual_delivery_date,shipment_status,logistics_owner,related_issue_id
SHP-2022-0043,2022-06-08,CUST-003,PROD-003,4591,DHL,Truck,2022-06-20,2022-06-19,delivered,윤예린,ISSUE-2022-011
SHP-2022-0044,2022-06-24,CUST-004,PROD-006,2777,Korea Post,Truck,2022-06-27,2022-06-27,delivered,임가은,ISSUE-2022-012
SHP-2022-0045,2022-09-13,CUST-005,PROD-004,3091,CJ Logistics,Ocean,2022-09-17,,in_progress,문태오,ISSUE-2022-013
SHP-2022-0046,2022-09-16,CUST-002,PROD-001,1163,Hanjin,Truck,2022-09-25,,in_progress,윤예린,ISSUE-2022-014
SHP-2022-0047,2022-11-05,CUST-005,PROD-002,124,DHL,Ocean,2022-11-12,2022-11-12,delivered,임가은,ISSUE-2022-015
SHP-2022-0048,2022-11-22,CUST-002,PROD-001,701,Korea Post,Truck,2022-12-06,,in_progress,문태오,ISSUE-2022-016
SHP-2022-0049,2022-01-24,CUST-002,PROD-001,3591,CJ Logistics,Truck,2022-02-01,,in_progress,윤예린,ISSUE-2022-001
SHP-2022-0050,2022-03-25,CUST-001,PROD-002,1265,Hanjin,Truck,2022-03-30,,in_progress,임가은,ISSUE-2022-002
SHP-2022-0051,2022-04-07,CUST-005,PROD-005,4293,DHL,Ocean,2022-04-09,2022-04-10,delivered,문태오,ISSUE-2022-003
SHP-2022-0052,2022-05-15,CUST-003,PROD-003,3162,Korea Post,Truck,2022-05-19,,in_progress,윤예린,ISSUE-2022-004
SHP-2022-0053,2022-07-15,CUST-004,PROD-004,2154,CJ Logistics,Truck,2022-07-20,,in_progress,임가은,ISSUE-2022-005
SHP-2022-0054,2022-08-25,CUST-001,PROD-001,2069,Hanjin,Truck,2022-08-28,2022-08-29,delivered,문태오,ISSUE-2022-006
SHP-2022-0055,2022-10-28,CUST-004,PROD-001,861,DHL,Truck,2022-11-05,,in_progress,윤예린,ISSUE-2022-007
SHP-2022-0056,2022-12-05,CUST-003,PROD-004,1423,Korea Post,Truck,2022-12-15,,in_progress,임가은,ISSUE-2022-008
SHP-2022-0057,2022-02-05,CUST-001,PROD-005,2332,CJ Logistics,Truck,2022-02-18,,in_progress,문태오,ISSUE-2022-009
SHP-2022-0058,2022-02-21,CUST-002,PROD-001,4564,Hanjin,Truck,2022-02-24,2022-02-23,delivered,윤예린,ISSUE-2022-010
SHP-2022-0059,2022-06-11,CUST-003,PROD-003,2786,DHL,Truck,2022-06-19,2022-06-19,delivered,임가은,ISSUE-2022-011
SHP-2022-0060,2022-06-27,CUST-004,PROD-006,1088,Korea Post,Truck,2022-07-04,2022-07-05,delivered,문태오,ISSUE-2022-012
SHP-2022-0061,2022-09-02,CUST-005,PROD-004,401,CJ Logistics,Ocean,2022-09-08,,in_progress,윤예린,ISSUE-2022-013
SHP-2022-0062,2022-09-19,CUST-002,PROD-001,1647,Hanjin,Truck,2022-09-25,,in_progress,임가은,ISSUE-2022-014
SHP-2022-0063,2022-11-08,CUST-005,PROD-002,2009,DHL,Ocean,2022-11-17,2022-11-18,delivered,문태오,ISSUE-2022-015
SHP-2022-0064,2022-11-26,CUST-002,PROD-001,1463,Korea Post,Truck,2022-12-05,,in_progress,윤예린,ISSUE-2022-016
SHP-2022-0065,2022-01-28,CUST-002,PROD-001,2086,CJ Logistics,Truck,2022-02-01,,in_progress,임가은,ISSUE-2022-001
SHP-2022-0066,2022-03-04,CUST-001,PROD-002,4145,Hanjin,Truck,2022-03-09,,in_progress,문태오,ISSUE-2022-002
SHP-2022-0067,2022-04-11,CUST-005,PROD-005,3165,DHL,Ocean,2022-04-14,2022-04-13,delivered,윤예린,ISSUE-2022-003
SHP-2022-0068,2022-05-20,CUST-003,PROD-003,4093,Korea Post,Truck,2022-05-27,,in_progress,임가은,ISSUE-2022-004
SHP-2022-0069,2022-07-22,CUST-004,PROD-004,400,CJ Logistics,Truck,2022-07-26,,in_progress,문태오,ISSUE-2022-005
SHP-2022-0070,2022-08-30,CUST-001,PROD-001,3384,Hanjin,Truck,2022-09-05,2022-09-04,delivered,윤예린,ISSUE-2022-006
SHP-2022-0071,2022-10-03,CUST-004,PROD-001,4579,DHL,Truck,2022-10-17,,in_progress,임가은,ISSUE-2022-007
SHP-2022-0072,2022-12-09,CUST-003,PROD-004,3153,Korea Post,Truck,2022-12-19,,in_progress,문태오,ISSUE-2022-008
